date,rate
1991-11-13,3.073500
1991-11-14,3.071200
1991-11-15,3.071800
1991-11-18,3.068400
1991-11-19,3.067300
1991-11-21,3.066100
1991-11-22,3.063200
1991-11-25,3.061200
1991-11-26,3.062200
1991-11-27,3.076000
1991-11-28,3.073100
1991-11-29,3.067700
1991-12-02,3.067200
1991-12-03,3.066200
1991-12-04,3.066600
1991-12-05,3.066000
1991-12-06,3.065400
1991-12-09,3.064300
1991-12-10,3.062500
1991-12-11,3.062200
1991-12-13,3.062300
1991-12-16,3.062200
1991-12-17,3.075300
1991-12-18,3.075600
1991-12-19,3.076000
1991-12-20,3.074800
1991-12-23,3.077400
1991-12-24,3.083700
1991-12-26,3.084100
1991-12-27,3.071000
1991-12-30,3.073900
1992-01-02,3.078000
1992-01-03,3.075300
1992-01-06,3.074400
1992-01-07,3.069500
1992-01-08,3.066500
1992-01-09,3.066300
1992-01-10,3.066200
1992-01-13,3.066800
1992-01-14,3.066100
1992-01-15,3.064200
1992-01-16,3.064600
1992-01-17,3.067900
1992-01-20,3.065700
1992-01-21,3.063100
1992-01-22,3.062500
1992-01-23,3.061700
1992-01-24,3.073600
1992-01-27,3.079100
1992-01-29,3.065900
1992-01-30,3.066000
1992-01-31,3.068500
1992-02-03,3.067300
1992-02-04,3.065600
1992-02-06,3.064500
1992-02-07,3.064800
1992-02-10,3.064500
1992-02-11,3.067400
1992-02-12,3.064400
1992-02-13,3.063300
1992-02-14,3.064000
1992-02-17,3.063400
1992-02-18,3.062100
1992-02-19,3.061800
1992-02-20,3.060800
1992-02-21,3.062100
1992-02-24,3.061000
1992-02-25,3.062100
1992-02-26,3.060900
1992-02-27,3.060800
1992-02-28,3.060800
1992-03-02,3.060900
1992-03-03,3.061100
1992-03-04,3.062500
1992-03-05,3.060600
1992-03-06,3.060900
1992-03-09,3.060800
1992-03-10,3.061200
1992-03-11,3.061200
1992-03-12,3.060800
1992-03-13,3.061000
1992-03-16,3.062200
1992-03-17,3.060900
1992-03-18,3.061800
1992-03-19,3.067900
1992-03-20,3.073800
1992-03-23,3.068800
1992-03-24,3.069300
1992-03-25,3.070600
1992-03-26,3.079500
1992-03-27,3.090200
1992-03-30,3.083500
1992-03-31,3.068300
1992-04-01,3.062000
1992-04-02,3.060900
1992-04-03,3.060900
1992-04-06,3.060900
1992-04-07,3.060900
1992-04-08,3.060800
1992-04-09,3.065600
1992-04-10,3.069500
1992-04-13,3.065700
1992-04-14,3.062500
1992-04-15,3.065000
1992-04-20,3.067000
1992-04-21,3.063600
1992-04-22,3.067100
1992-04-23,3.082800
1992-04-24,3.085600
1992-04-27,3.075800
1992-04-28,3.076500
1992-04-29,3.079000
1992-04-30,3.079400
1992-05-04,3.078600
1992-05-06,3.081600
1992-05-07,3.088500
1992-05-08,3.100000
1992-05-11,3.110800
1992-05-12,3.096800
1992-05-13,3.086300
1992-05-14,3.088500
1992-05-15,3.109400
1992-05-18,3.103900
1992-05-19,3.097400
1992-05-20,3.102400
1992-05-21,3.105000
1992-05-22,3.105600
1992-05-25,3.103000
1992-05-26,3.102600
1992-05-27,3.107900
1992-05-28,3.113400
1992-05-29,3.116800
1992-06-01,3.115000
1992-06-02,3.110600
1992-06-03,3.117600
1992-06-04,3.118500
1992-06-05,3.117900
1992-06-08,3.113100
1992-06-09,3.114600
1992-06-10,3.117600
1992-06-11,3.116900
1992-06-12,3.119100
1992-06-15,3.119100
1992-06-16,3.119300
1992-06-17,3.121000
1992-06-18,3.122000
1992-06-19,3.120300
1992-06-22,3.116800
